page_no,item_no,구분,제작사,차명,생산기간,대상수량,결함내용,시정방법,기타문의
1,1,해외,비엠더블유,BMW i5 eDrive40 등 13차종 - BCP 컨트롤 유닛(전동식 에어컨 컴프레셔 제어장치) 관련 리콜,2020-10-19 ~ 2025-02-27,"9,914 대","BCP 컨트롤 유닛(전동식 에어컨 컴프레셔 제어장치) 소프트웨어 설계 오류로 인해 일부 작동조건에서 전동식 에어컨 컴프레셔가 잘못 제어되어 고장이 발생할 수 있으며, 이로 인해 매우 드문 경우 차량이 정차 또는 주행 중 고전압 시스템 차단되며, 주행 중인 차량의 경우 서서히 정지될 수 있는 가능성이 확인됨에 따른 리콜 (운전자는 비정상적인 에어컨 컴프레셔 작동 소음이나 에어컨 작동 불량을 통해 고장을 알 수 있으며, 중앙 모니터에 체크 컨트롤 메시지가 표시될 수 있음.)","오류가 개선된 소프트웨어로 업데이트하며, 해당 문제의 원인으로 인해 에어컨 고장이 발생된 경우 에어컨 관련 장치를 교체함 (03/2025.71 또는 그 이상 버전이 설치되어 있다면 추가 업데이트가 필요 하지 않음)",비엠더블유 대표번호 080-269-5181
1,2,해외,비엠더블유,BMW 220i Active Tourer 등 7차종 - 통합제동장치 관련 리콜,2023-01-26 ~ 2024-08-16,10 대,"통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 수 있으며, 신호 장애가 발생하면 안전모드로 전환되어 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되고 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있으며 제동거리가 길어질 수 있음. 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성에 따른 리콜",품질이 개선된 통합제동장치로 교체,비엠더블유 대표번호 080-269-5181
1,3,해외,벤츠,Mercedes-AMG E 53 Hybrid 4MATIC+ - 변속기 배선 관련 리콜,2024-10-29 ~ 2025-01-27,28 대,"개발 및 생산공정 편차로 인해 구동축과 변속기 배선 사이의 간격이 좁을 수 있으며, 이런 경우 변속기 배선이 전방 구동축과 간섭되어 손상될 수 있고 그 결과로 주행 중 차량의 추진력이 상실되어 사고의 위험이 증가할 수 있는 가능성이 확인됨에 따른 리콜",변속기 배선 경로 점검 및 필요 시 재작업,벤츠코리아 대표번호 080-001-1886
3,2,해외,볼보,S90 등 7차종 - 긴급제동장치(AEB) 관련 리콜,2016-04-29 ~ 2022-05-20,"50,434 대","AEB 시스템 센서의 한계로 인해 운전자의 불편을 초래할 수 있음이 확인됨. 시스템의 작동 의도를 고려할 때 이러한 한계가 예상될 수 있으나 도로 상태, 혹은 승인되지 않은 블랙박스 및 전면 창유리 틴팅과 같은 외부 요인으로 인한 작동 중단이 발생될 수 있으며, 이런 경우 특정 조건에서 오작동 현상이 발생하여 의도하지 않은 AEB 제동이 발생될 수 있는 가능성이 확인됨에 따른 리콜","AEB 시스템 센서의 한계를 보완하기 위한 소프트웨어 업데이트가 시행될 예정이며, 전면 창유리 파손여부 확인 및 틴팅, 블랙박스/하이패스 위치 변경 등을 포함한 추가적인 안전 조치가 권장될 예정임",볼보자동차코리아 대표번호 1588-1777
4,1,해외,벤츠,AMG G 63 - 엔진 컨트롤 유닛 관련 리콜,2022-09-23 ~ 2024-04-02,"2,501 대","엔진 컨트롤 유닛 소프트웨어가 최신 사양에 맞지 않을 수 있으며, 이런 경우 촉매 가열 시 공회전 및 저속 주행 상태에서 실화 불량이 증가할 수 있고 그 결과로 엔진 경고등(MIL)이 점등될 수 있으며 배출가스 요구사항을 충족하지 못할 수 있는 가능성이 확인됨에 따른 리콜",엔진 컨트롤 유닛 소프트웨어 업데이트,벤츠코리아 대표번호 080-001-1886
4,4,해외,볼보,FH 카고 - 앞차축 고정볼트 관련 리콜,2025-08-27 ~ 2025-10-28,32 대,"작업자 작업공정 미준수(앞차축 고정볼트 체결불량 가능성 있음)로 인해 주행 중 앞차축에서 소음이 발생할 수 있고, 심할 경우 앞차축이 느슨해짐으로 조향 안정성에 영향을 줄 수 있는 가능성이 확인됨에 따른 리콜",앞차축 고정볼트 점검 및 재조임,볼보트럭 대표번호 080-038-1000
4,5,국산,기아,K3 - 무단 변속기 관련 리콜,2018-01-31 ~ 2021-06-03,"113,793 대","무단변속기 제조 불량으로 유압 제어 불안정 문제가 발생할 수 있으며, 이런 경우 발진 시 구동력이 전달되지 않아 안전에 지장을 줄 수 있는 가능성이 확인됨에 따른 리콜",변속기 제어장치 소프트웨어 업데이트 및 관련 고장코트 표출 시 점검 후 변속기 교환,기아자동차 대표번호 080-200-2000
5,1,국산,기아,스포티지 등 2차종 - 바디제어장치(BDC) 관련 리콜,2025-06-23 ~ 2025-09-01,"3,895 대","바디제어장치(BDC) 소프트웨어 설계 오류로 주차(초음파) 센서간 간헐적 통신 불량이 있을 수 있으며, 이런 경우 주차 거리 경고(PDW) 기능이 미작동할 수 있는 가능성이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제53조의2 안전기준에 부적합 할 수 있음)",1) 무선 OTA 통한 바디제어장치(BDC) 소프트웨어 업데이트,기아자동차 대표번호 080-200-2000
5,2,국산,현대,GV60 - 바디제어장치(BDC) 관련 리콜,2025-04-08 ~ 2025-08-22,50 대,"바디제어장치(BDC) 소프트웨어 설계 오류로 주차(초음파) 센서간 간헐적 통신 불량이 있을 수 있으며, 이런 경우 주차 거리 경고(PDW) 기능이 미작동할 수 있는 가능성이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제53조의2 안전기준에 부적합 할 수 있음)",바디제어장치(BDC) 소프트웨어 업데이트,현대자동차 대표번호 080-600-6000
5,3,해외,비엠더블유,BMW 520i 등 3차종 - 통합제동장치 관련 리콜,2023-11-30 ~ 2023-12-19,3 대,"통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 수 있으며, 신호 장애가 발생하면 안전모드로 전환되어 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되고, 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있으며 제동거리가 길어질 수 있음. 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성이 확인됨에 따른 리콜",품질이 개선된 통합제동장치로 교체함,비엠더블유 대표번호 080-269-5181
